#,关键词,搜索量,百度收录,百度推广,谷歌收录,P指数,周关注度,月关注度,季关注度,男性,女性
100,人参养荣丸,81,433000,0,0,易,+271%,+119%,-41%,56.55%,43.45%
75,宁心宝胶囊,79,251000,0,590000,易,-,-,-,-%,-%
16,麻黄碱苯海拉明片,78,289000,2,75600,易,+14%,+16%,+550%,69.66%,30.34%
66,乙肝解毒胶囊,74,180000,0,1210000,易,+42%,0%,+233%,78.99%,21.01%
19,感冒清胶囊,69,534000,0,922000,易,-,-,-,-%,-%
33,头孢羟氨苄胶囊,67,470000,0,176000,易,-,-,-,-%,-%
43,吲哚美辛肠溶片,60,259000,2,86500,易,-,-,-,-%,-%
17,葡萄糖酸钙片,60,1430000,2,1060000,易,+17%,+2%,+1400%,57.63%,42.37%
69,盐酸环丙沙星片,56,560000,0,230000,易,+6%,-6%,+900%,68.73%,31.27%
6,桑菊感冒片,54,621000,0,104000,易,-,-,-,-%,-%
72,女金丸,52,272000,0,1090000,易,-,-,-,-%,-%
51,五味子糖浆,50,683000,0,237000,易,+7%,+3%,+233%,58.68%,41.32%
47,复方穿心莲片,50,425000,0,307000,易,+12%,-7%,+800%,65.87%,34.13%
36,盐酸普罗帕酮片,50,264000,0,124000,易,-,-,-,-%,-%
97,阿替洛尔片,49,2020000,0,0,易,+4%,-10%,-27%,63.91%,36.09%
77,柴胡注射液,48,2070000,0,0,易,-,-,-,-%,-%
74,盐酸异丙嗪片,47,173000,0,242000,易,-,-,-,-%,-%
41,吉他霉素片,45,481000,0,203000,易,-,-,-,-%,-%
34,复方氨酚那敏颗粒,44,1040000,0,559000,易,-,-,-,-%,-%
9,食母生片,44,120000,0,796000,易,-,-,-,-%,-%
78,注射用炎琥宁,43,411000,2,0,易,-3%,-11%,-10%,68.98%,31.02%
24,注射用阿奇霉素,42,2280000,0,586000,易,-6%,-19%,-20%,62.97%,37.03%
99,跌打丸,38,725000,0,0,易,-,-,-,-%,-%
35,感冒清片,35,485000,0,794000,易,-,-,-,-%,-%
56,氯化钾注射液,34,197000,2,588000,易,-,-,-,-%,-%
96,复方妥英麻黄茶碱片,27,125000,0,0,易,-,-,-,-%,-%
18,大黄碳酸氢钠片,27,156000,0,139000,易,-,-,-,-%,-%
76,小儿氨酚黄那敏片,23,0,0,580000,易,-20%,+9%,+200%,73.02%,26.98%
64,云芝肝泰颗粒,18,117000,3,65500,易,-,-,-,-%,-%
95,杞菊地黄口服液,16,430000,0,0,易,-,-,-,-%,-%
91,氟康唑氯化钠注射液,16,313000,0,0,易,-18%,+10%,+1000%,50.37%,49.63%
93,麦白霉素片,14,102000,0,0,易,-,-,-,-%,-%
68,吲哚美辛胶囊,12,645000,1,245000,易,-,-,-,-%,-%
46,磷霉素钙胶囊,12,174000,0,141000,易,-,-,-,-%,-%
81,替硝唑氯化钠注射液,11,298000,0,0,易,-,-,-,-%,-%
67,注射用氨苄西林钠,11,655000,0,212000,易,-12%,0%,+600%,70.64%,29.36%
5,盐酸奈福泮片,11,164000,0,117000,易,-,-,-,-%,-%
57,乳酸环丙沙星氯化钠注射液,10,141000,0,76600,易,-,-,-,-%,-%
87,盐酸吡硫醇片,9,91900,2,0,易,-,-,-,-%,-%
94,三磷酸腺苷二钠注射液,8,881000,0,0,易,-,-,-,-%,-%
42,苯甲醇注射液,8,222000,2,179000,易,-,-,-,-%,-%
14,注射用硫酸头孢匹罗,7,147000,0,63100,易,-,-,-,-%,-%
55,马来酸氯苯那敏注射液,6,333000,0,178000,易,-,-,-,-%,-%
40,肌苷口服溶液,2,223000,2,96000,易,-,-,-,-%,-%
1,氯霉素胶囊,2,1570000,0,1020000,易,-,-,-,-%,-%
90,注射用氨苄西林钠舒巴坦钠,0,313000,0,0,易,-,-,-,-%,-%
89,夏桑菊颗粒,0,393000,0,0,易,-,-,-,-%,-%
88,盐酸多西环素片,0,322000,0,0,易,-,-,-,-%,-%
86,盐酸消旋山莨菪碱注射液,0,169000,0,0,易,-,-,-,-%,-%
85,消栓口服液,0,350000,0,0,易,-,-,-,-%,-%
73,注射用甲磺酸培氟沙星,0,335000,0,135000,易,-,-,-,-%,-%
59,抗骨增生片,0,611000,6,728000,易,-,-,-,-%,-%
58,乙肝扶正胶囊,0,139000,0,284000,易,-,-,-,-%,-%
54,槐角丸,0,783000,0,412000,易,-,-,-,-%,-%
49,利巴韦林含片,0,107000,0,182000,易,-,-,-,-%,-%
48,羧甲司坦片,0,124000,0,122000,易,-,-,-,-%,-%
44,酚磺乙胺注射液,0,218000,0,163000,易,-,-,-,-%,-%
32,颠茄磺苄啶片,0,365000,0,70000,易,-,-,-,-%,-%
31,盐酸土霉素片,0,769000,0,287000,易,-,-,-,-%,-%
30,木糖醇注射液,0,219000,0,154000,易,-,-,-,-%,-%
28,甲紫溶液,0,183000,0,1580000,易,-,-,-,-%,-%
25,芬布芬片,0,75100,0,9760000,易,-,-,-,-%,-%
15,养血安神片,0,334000,0,1010000,易,-,-,-,-%,-%
11,吡罗昔康片,0,190000,0,133000,易,-,-,-,-%,-%
10,注射用头孢尼西钠,0,287000,0,154000,易,-,-,-,-%,-%
2,注射用更昔洛韦,0,692000,0,259000,易,-,-,-,-%,-%
8,注射用奥美拉唑钠,0,1180000,0,326000,易,-,-,-,-%,-%
#,关键词,搜索量,百度收录,百度推广,谷歌收录,P指数,周关注度,月关注度,季关注度,男性,女性
34,金匮肾气丸,1795,4310000,0,0,中等,+5%,-1%,-16%,79.46%,20.54%
44,十滴水,1042,2470000,0,0,中等,-14%,-28%,+13%,55.36%,44.64%
62,五子衍宗丸,825,1910000,0,550000,中等,+7%,+4%,-1%,79.91%,20.09%
46,风油精,718,9640000,4,0,难,-5%,-23%,+74%,68.63%,31.37%
45,参苓白术散,695,2050000,0,0,中等,-3%,-10%,0%,66.73%,33.27%
12,开塞露,599,4270000,0,3180000,中等,-19%,+27%,-10%,72.51%,27.49%
55,盐酸左氧氟沙星片,517,1860000,0,0,中等,+4%,-6%,+3%,67.07%,32.93%
33,小柴胡颗粒,417,4610000,0,0,中等,+5%,-6%,-28%,65.24%,34.76%
68,酚酞片,363,303000,0,476000,易,-11%,-12%,+9%,46.55%,53.45%
43,阿奇霉素片,363,835000,0,0,易,+10%,+11%,-5%,68.38%,31.62%
47,黄连上清片,362,820000,0,0,易,-7%,0%,-1%,67.3%,32.7%
91,银杏叶片,357,1100000,2,1020000,中等,+3%,+12%,-10%,62.26%,37.74%
100,氟康唑胶囊,299,450000,0,573000,易,-3%,-8%,0%,60.02%,39.98%
22,阿昔洛韦片,242,2210000,6,2510000,中等,0%,-8%,-12%,67.14%,32.86%
59,壮腰健肾丸,240,543000,2,388000,易,+5%,+4%,-14%,76.87%,23.13%
89,艾附暖宫丸,239,730000,2,238000,易,+2%,-2%,-10%,45.29%,54.71%
73,香砂六君丸,214,332000,0,216000,易,0%,-5%,-10%,69.47%,30.53%
21,银黄颗粒,200,670000,0,999000,易,-4%,-9%,-19%,66.62%,33.38%
70,金银花露,184,1340000,4,871000,中等,-6%,-35%,+15%,62.52%,37.48%
42,胃康灵胶囊,174,683000,0,0,易,-11%,0%,-25%,66.67%,33.33%
53,阿莫西林颗粒,154,2890000,2,0,中等,-4%,-9%,-24%,68.44%,31.56%
78,曲咪新乳膏,141,454000,0,78100,易,-7%,-6%,-7%,69.59%,30.41%
37,氯霉素滴眼液,141,634000,0,0,易,0%,0%,-6%,60.93%,39.07%
61,氨苄西林胶囊,138,1150000,0,313000,易,-4%,-10%,-16%,68.87%,31.13%
38,玉屏风口服液,132,238000,0,0,易,+8%,-14%,-6%,62.85%,37.15%
67,通便灵胶囊,124,355000,0,409000,易,+24%,+2%,+640%,47.77%,52.23%
79,克拉霉素胶囊,122,1850000,0,707000,易,-,-,-,-%,-%
15,陈香露白露片,114,711000,0,80500,易,-,-,-,-%,-%
41,小儿感冒颗粒,114,2140000,0,0,易,-2%,-8%,-21%,66.57%,33.43%
98,盐酸普萘洛尔片,108,281000,1,159000,易,-,-,-,-%,-%
64,百合固金丸,91,185000,0,123000,易,-,-,-,-%,-%
50,舒筋活血片,89,550000,0,0,易,-,-,-,-%,-%
77,人参再造丸,87,560000,2,211000,易,-,-,-,-%,-%
95,一清颗粒,83,249000,0,20300000,易,-,-,-,-%,-%
18,灰黄霉素片,78,632000,2,272000,易,-1%,-5%,+1183%,65.33%,34.67%
99,辅酶q10胶囊,75,1210000,8,1570000,中等,-22%,+40%,0%,56.67%,43.33%
11,通脉颗粒,75,1210000,2,1010000,易,+9%,-4%,+242%,64.17%,35.83%
17,补肾强身片,55,252000,6,1380000,易,-,-,-,-%,-%
39,氧氟沙星片,55,1410000,0,0,易,+2%,-15%,+760%,69.59%,30.41%
8,甲硝唑注射液,54,385000,0,702000,易,+11%,+15%,+5%,68.27%,31.73%
58,小儿咳喘灵口服液,50,433000,0,267000,易,+25%,-5%,+850%,71.77%,28.23%
76,克霉唑乳膏,49,690000,0,679000,易,-,-,-,-%,-%
81,硫糖铝咀嚼片,44,126000,0,36100,易,+6%,-7%,+680%,68.69%,31.31%
10,复方愈创木酚磺酸钾口服溶液,42,121000,0,37400,易,-,-,-,-%,-%
24,维u颠茄铝胶囊,40,302000,0,170000,易,-,-,-,-%,-%
49,益肝灵片,34,252000,6,0,易,-,-,-,-%,-%
5,复方氢氧化铝片,32,583000,6,161000,易,-,-,-,-%,-%
13,牡蛎碳酸钙颗粒,30,354000,6,138000,易,-,-,-,-%,-%
3,注射用头孢西丁钠,28,339000,4,167000,易,-,-,-,-%,-%
57,半夏糖浆,27,664000,2,0,易,-,-,-,-%,-%
28,复方川贝精片,27,154000,0,136000,易,-,-,-,-%,-%
40,浓维磷糖浆,27,1340000,2,0,易,-,-,-,-%,-%
4,消栓通络片,26,218000,4,308000,易,-,-,-,-%,-%
7,丙谷胺片,24,73700,0,1120000,易,-,-,-,-%,-%
93,氨茶碱注射液,22,827000,2,397000,易,+8%,-11%,+650%,57.18%,42.82%
82,磷酸苯丙哌林胶囊,21,233000,0,115000,易,+9%,-8%,+266%,71.15%,28.85%
88,酮洛芬肠溶胶囊,20,194000,2,148000,易,-,-,-,-%,-%
65,盐酸左氧氟沙星氯化钠注射液,18,482000,0,111000,易,-,-,-,-%,-%
56,注射用克林霉素磷酸酯,18,654000,0,0,易,-,-,-,-%,-%
9,氨甲环酸注射液,17,138000,0,300000,易,-,-,-,-%,-%
27,复方氨酚苯海拉明片,13,422000,2,82300,易,-,-,-,-%,-%
36,注射用头孢替唑钠,13,264000,2,0,易,-,-,-,-%,-%
29,注射用降纤酶,9,319000,2,163000,易,-,-,-,-%,-%
54,盐酸雷尼替丁片,9,865000,0,0,易,-,-,-,-%,-%
90,注射用哌拉西林钠,8,303000,0,125000,易,-,-,-,-%,-%
48,牡蛎碳酸钙片,8,114000,6,0,易,-,-,-,-%,-%
69,甘油果糖氯化钠注射液,6,105000,0,41500,易,-,-,-,-%,-%
75,烟酸占替诺片,4,122000,6,87200,易,-,-,-,-%,-%
66,注射用青霉素钾,4,2220000,0,295000,易,-,-,-,-%,-%
32,硫酸奈替米星注射液,4,232000,0,80000,易,-,-,-,-%,-%
92,氟罗沙星注射液,3,418000,0,131000,易,-,-,-,-%,-%
2,氟罗沙星葡萄糖注射液,2,259000,0,61600,易,-,-,-,-%,-%
30,丹参注射液,2,1900000,0,796000,易,+9%,-8%,-22%,65.69%,34.31%
96,门冬氨酸洛美沙星注射液,1,216000,0,57800,易,-50%,-50%,0%,70.89%,29.11%
80,右旋糖酐40氯化钠注射液,1,207000,4,59600,易,-,-,-,-%,-%
63,复方磺胺嘧啶片,1,492000,2,142000,易,-,-,-,-%,-%
1,盐酸二氧丙嗪片,1,181000,0,117000,易,-,-,-,-%,-%
97,阿咖酚散,0,128000,0,288000,易,-,-,-,-%,-%
94,苯巴比妥片,0,1150000,0,603000,易,-,-,-,-%,-%
87,诺氟沙星葡萄糖注射液,0,272000,0,95800,易,-,-,-,-%,-%
86,格列本脲片,0,183000,6,400000,易,-,-,-,-%,-%
85,乳酸钠林格注射液,0,196000,0,50800,易,-,-,-,-%,-%
84,甲苯磺丁脲片,0,58600,0,116000,易,-,-,-,-%,-%
83,炎可宁片,0,283000,0,1080000,易,-,-,-,-%,-%
74,注射用卡络磺钠,0,101000,0,170000,易,-,-,-,-%,-%
72,首乌延寿片,0,383000,0,111000,易,-,-,-,-%,-%
71,复方氨基酸注射液(15aa),0,58100,0,11200,易,-,-,-,-%,-%
60,清眩丸,0,116000,0,1380000,易,-,-,-,-%,-%
6,甲氧氯普胺片,0,192000,0,119000,易,-,-,-,-%,-%
14,注射用美洛西林钠,0,328000,0,146000,易,-,-,-,-%,-%
16,参苏丸,0,233000,0,2980000,易,-,-,-,-%,-%
19,吡嗪酰胺片,0,720000,0,280000,易,-,-,-,-%,-%
20,曲匹布通片,0,93400,0,159000,易,-,-,-,-%,-%
23,氢氯噻嗪片,0,1130000,0,589000,易,-,-,-,-%,-%
25,注射用泮托拉唑钠,0,503000,0,184000,易,-,-,-,-%,-%
26,桂利嗪片,0,249000,0,303000,易,-,-,-,-%,-%
31,利胆排石片,0,202000,2,403000,易,-,-,-,-%,-%
35,罗通定片,0,200000,0,0,易,+38%,0%,+666%,60.23%,39.77%
51,加味藿香正气丸,0,520000,0,0,易,0%,-21%,+566%,73.02%,26.98%
52,磺胺脒片,0,85000,2,0,易,-,-,-,-%,-%
#,关键词,搜索量,百度收录,百度推广,谷歌收录,P指数,周关注度,月关注度,季关注度,男性,女性
11,红霉素软膏,509,3470000,0,2020000,中等,-5%,+1%,+4%,58.87%,41.13%
66,阿普唑仑片,411,259000,6,191000,易,+4%,+1%,-19%,62.99%,37.01%
40,艾司唑仑片,402,290000,6,184000,易,+5%,+1%,-13%,62.58%,37.42%
48,清火栀麦片,240,334000,0,85600,易,-1%,+6%,-6%,55.44%,44.56%
69,尼莫地平片,203,463000,0,545000,易,+1%,+1%,-24%,64.63%,35.37%
52,消癌平片,171,0,0,782000,易,+16%,-7%,-2%,60.44%,39.56%
83,西黄丸,169,606000,7,927000,中等,+5%,-5%,-5%,64.87%,35.13%
39,硝酸异山梨酯片,149,935000,0,373000,易,+1%,-3%,-20%,59.24%,40.76%
86,阿奇霉素胶囊,141,340000,0,1700000,易,+3%,-4%,-21%,67.49%,32.51%
93,过氧化氢溶液,140,1500000,6,1440000,中等,+12%,-4%,+977%,59.67%,40.33%
56,灵芝胶囊,124,647000,6,837000,易,+4%,-1%,-21%,65.75%,34.25%
92,麝香壮骨膏,121,1030000,2,322000,中等,+8%,+5%,-3%,69.13%,30.87%
49,济生肾气丸,120,485000,0,264000,易,-,-,-,-%,-%
58,大败毒胶囊,118,227000,0,377000,易,-,-,-,-%,-%
42,玄麦甘桔颗粒,107,266000,0,66600,易,-,-,-,-%,-%
25,依托红霉素颗粒,105,383000,0,209000,易,-,-,-,-%,-%
81,复方利血平片,104,923000,2,698000,易,-2%,-2%,-29%,64.18%,35.82%
65,三磷酸腺苷二钠片,94,790000,6,193000,易,-,-,-,-%,-%
79,空心胶囊,87,1750000,3,1410000,易,+20%,-5%,-80%,65.35%,34.65%
7,联苯双酯片,86,131000,6,338000,易,+7%,-16%,+700%,71.97%,28.03%
51,三七伤药片,84,417000,0,335000,易,+8%,-3%,+1733%,66.72%,33.28%
4,盐酸小檗碱,72,909000,6,390000,易,-20%,-7%,-5%,69.25%,30.75%
2,氯氮平片,69,159000,6,357000,易,-,-,-,-%,-%
29,硫酸阿托品片,68,461000,0,356000,易,0%,-22%,+700%,73.02%,26.98%
99,复方鱼腥草片,64,221000,0,402000,易,-,-,-,-%,-%
100,凝血酶,60,4840000,6,2320000,中等,-,-,-,-%,-%
34,麻杏止咳糖浆,60,174000,0,84300,易,-14%,-6%,-40%,66.8%,33.2%
47,葡萄糖酸钙注射液,59,1200000,2,542000,易,-,-,-,-%,-%
27,复方芦丁片,55,114000,4,234000,易,-,-,-,-%,-%
72,健儿消食口服液,48,467000,0,137000,易,-,-,-,-%,-%
35,银翘解毒颗粒,48,1440000,0,316000,易,-,-,-,-%,-%
77,甘草锌胶囊,47,345000,0,565000,易,-,-,-,-%,-%
46,灯盏花素片,45,547000,0,217000,易,-,-,-,-%,-%
63,利巴韦林滴眼液,42,438000,2,632000,易,-,-,-,-%,-%
22,养血当归糖浆,35,576000,0,213000,易,-,-,-,-%,-%
17,复方感冒灵片,34,993000,0,814000,易,-,-,-,-%,-%
59,槟榔四消丸,33,162000,0,635000,易,-4%,-4%,+2100%,52.68%,47.32%
43,口服葡萄糖,30,7100000,4,1150000,中等,+5%,-13%,-20%,69.94%,30.06%
32,维酶素片,30,84800,0,596000,易,-,-,-,-%,-%
18,保泰松片,30,78300,0,635000,易,-,-,-,-%,-%
94,月见草油胶丸,28,145000,2,252000,易,-11%,-11%,+800%,61.22%,38.78%
84,康尔心胶囊,26,148000,2,577000,易,-,-,-,-%,-%
55,三合钙咀嚼片,26,75300,0,110000,易,0%,-15%,+225%,71.27%,28.73%
97,心可宁胶囊,25,200000,0,1040000,易,-,-,-,-%,-%
87,脑得生片,24,123000,0,19700000,易,-,-,-,-%,-%
78,重组人粒细胞刺激因子注射液,19,683000,0,86300,易,-,-,-,-%,-%
36,盐酸左氧氟沙星注射液,19,0,0,295000,易,-,-,-,-%,-%
16,妇康宁片,19,377000,4,271000,易,-,-,-,-%,-%
57,紫杉醇注射液,18,265000,1,1840000,易,-,-,-,-%,-%
26,五维他口服溶液,18,43300,0,305000,易,-,-,-,-%,-%
1,注射用阿魏酸钠,18,451000,2,124000,易,0%,+14%,+700%,76.79%,23.21%
89,银黄口服液,16,283000,0,700000,易,-,-,-,-%,-%
31,小儿退热口服液,16,1440000,0,552000,易,-,-,-,-%,-%
74,甲酚皂溶液,15,258000,2,67100,易,-,-,-,-%,-%
73,盐酸纳洛酮注射液,15,485000,4,125000,易,-,-,-,-%,-%
67,苦参素注射液,15,161000,6,471000,易,-,-,-,-%,-%
41,盐酸丁咯地尔注射液,15,255000,0,104000,易,-,-,-,-%,-%
9,吡拉西坦注射液,15,489000,0,219000,易,-,-,-,-%,-%
45,苯扎溴铵溶液,14,474000,6,401000,易,-,-,-,-%,-%
15,盐酸克林霉素注射液,14,378000,0,354000,易,-,-,-,-%,-%
64,养血安神糖浆,13,379000,2,195000,易,-,-,-,-%,-%
5,注射用头孢唑肟钠,13,210000,2,141000,易,-,-,-,-%,-%
24,芬布芬胶囊,12,381000,0,3460000,易,-,-,-,-%,-%
14,注射用辅酶a,11,1350000,6,245000,中等,-,-,-,-%,-%
70,银柴颗粒,10,120000,2,854000,易,-,-,-,-%,-%
82,盐酸昂丹司琼注射液,8,190000,0,57700,易,-,-,-,-%,-%
95,麦味地黄口服液,7,145000,0,304000,易,-,-,-,-%,-%
61,人参口服液,7,2150000,0,1350000,易,-,-,-,-%,-%
21,注射用穿琥宁,7,143000,0,166000,易,-,-,-,-%,-%
10,注射用亚叶酸钙,6,262000,2,97900,易,-,-,-,-%,-%
3,乙酰螺旋霉素胶囊,6,541000,0,163000,易,-,-,-,-%,-%
50,乳酸环丙沙星注射液,5,256000,2,199000,易,+25%,0%,+300%,50.76%,49.24%
33,维生素b2注射液,5,488000,2,378000,易,-,-,-,-%,-%
19,注射用头孢噻吩钠,5,150000,6,64200,易,0%,0%,+200%,54.6%,45.4%
96,注射用甲磺酸左氧氟沙星,4,448000,6,117000,易,-,-,-,-%,-%
90,氧氟沙星氯化钠注射液,4,662000,0,115000,易,-,-,-,-%,-%
75,硫酸妥布霉素注射液,4,280000,0,1100000,易,-,-,-,-%,-%
71,氯化钙注射液,4,300000,6,398000,易,-,-,-,-%,-%
68,盐酸倍他司汀氯化钠注射液,3,137000,0,42000,易,-,-,-,-%,-%
38,盐酸四环素胶囊,3,574000,2,261000,易,-,-,-,-%,-%
88,甲磺酸培氟沙星注射液,2,309000,6,103000,易,-33%,0%,0%,83.04%,16.96%
13,曲克芦丁氯化钠注射液,2,217000,4,61100,易,-,-,-,-%,-%
98,磷酸哌嗪片,1,529000,6,163000,易,-,-,-,-%,-%
80,吡哌酸胶囊,1,228000,0,359000,易,-,-,-,-%,-%
91,冠心苏合丸,0,452000,0,187000,易,-,-,-,-%,-%
85,注射用二乙酰氨乙酸乙二胺,0,246000,6,51200,易,-,-,-,-%,-%
76,磺胺二甲嘧啶片,0,162000,2,161000,易,-,-,-,-%,-%
62,呋塞米注射液,0,389000,0,165000,易,-,-,-,-%,-%
60,多酶片,0,1400000,0,879000,易,-,-,-,-%,-%
54,盐酸萘甲唑啉滴鼻液,0,265000,2,29600,易,-,-,-,-%,-%
53,静注人免疫球蛋白(ph4),0,121000,2,20700,易,-,-,-,-%,-%
44,烟酸片,0,81000,6,1570000,易,-,-,-,-%,-%
37,芦丁片,0,442000,4,858000,易,-,-,-,-%,-%
30,氨甲苯酸注射液,0,214000,0,169000,易,-,-,-,-%,-%
28,生脉饮(党参方),0,130000,0,164000,易,-,-,-,-%,-%
23,氧(液态),0,4110000,4,3050000,中等,-,-,-,-%,-%
20,右旋糖酐20葡萄糖注射液,0,257000,4,68000,易,-,-,-,-%,-%
12,注射用头孢哌酮钠舒巴坦钠(2:1),0,573000,2,59100,易,-,-,-,-%,-%
8,小檗碱甲氧苄啶胶囊,0,224000,6,71700,易,-,-,-,-%,-%
6,咳特灵片,0,176000,0,851000,易,-,-,-,-%,-%
#,关键词,搜索量,百度收录,百度推广,谷歌收录,P指数,周关注度,月关注度,季关注度,男性,女性
13,盐酸左氧氟沙星胶囊,935,1560000,0,482000,中等,0%,-10%,+3%,66.53%,33.47%
25,男宝胶囊,322,1760000,1,1060000,中等,+14%,+100%,+11%,78.67%,21.33%
55,盐酸氟桂利嗪胶囊,309,391000,0,184000,易,+2%,-4%,-19%,63.9%,36.1%
85,丹参片,291,41400000,0,3080000,中等,+3%,-5%,-13%,64.77%,35.23%
12,苯磺酸氨氯地平片,279,620000,6,332000,易,-1%,-3%,-23%,61.94%,38.06%
68,青霉素v钾片,259,342000,0,260000,易,-9%,0%,-10%,68.66%,31.34%
90,富马酸酮替芬片,247,193000,2,116000,易,+2%,-3%,-20%,61.59%,38.41%
52,牛黄清心丸,226,857000,0,393000,易,+10%,-9%,-11%,62.3%,37.7%
63,健胃消食片,223,3050000,2,1410000,中等,-1%,-2%,-3%,65.67%,34.33%
5,益肾灵颗粒,187,258000,2,445000,易,-3%,-13%,-14%,80.29%,19.71%
24,八珍丸,179,388000,0,1540000,易,+73%,+29%,-6%,55.25%,44.75%
44,注射用绒促性素,161,384000,0,102000,易,+2%,-3%,-13%,70.19%,29.81%
77,胶体果胶铋胶囊,151,615000,2,173000,易,-8%,-6%,+718%,64.52%,35.48%
59,养阴清肺丸,144,352000,0,732000,易,+9%,+26%,-21%,67.02%,32.98%
69,小儿化痰止咳颗粒,142,2140000,2,1060000,中等,+22%,-8%,-31%,67.04%,32.96%
84,炎立消胶囊,136,328000,0,372000,易,+2%,-4%,-6%,70.94%,29.06%
88,舒肝和胃丸,135,839000,0,1310000,易,-,-,-,-%,-%
35,咽炎片,135,1020000,4,3020000,中等,-3%,+9%,+1600%,67.1%,32.9%
32,硝酸咪康唑乳膏,134,563000,0,198000,易,-9%,-5%,+773%,64.87%,35.13%
83,银黄胶囊,118,837000,0,2500000,易,0%,+2%,-26%,70.1%,29.9%
54,通窍鼻炎片,114,293000,3,226000,易,-,-,-,-%,-%
39,安神补心丸,112,583000,4,868000,易,+1%,+1%,-16%,66.63%,33.37%
100,硫软膏,110,383000,0,1080000,易,-,-,-,-%,-%
58,当归片,108,379000,0,9330000,易,+14%,-2%,+620%,48.24%,51.76%
1,对乙酰氨基酚栓,101,4130000,0,236000,中等,-,-,-,-%,-%
19,牛磺酸颗粒,93,409000,0,439000,易,-4%,-4%,-2%,70.17%,29.83%
89,肾上腺色腙片,91,126000,0,55900,易,-3%,-7%,+737%,55.09%,44.91%
62,注射用赖氨匹林,84,230000,0,62000,易,0%,-11%,+33%,73.02%,26.98%
67,牛黄消炎片,83,273000,0,277000,易,+13%,+11%,+816%,63.47%,36.53%
42,七叶神安片,81,402000,0,115000,易,-,-,-,-%,-%
11,脑乐静,78,131000,0,691000,易,+30%,0%,-18%,66.74%,33.26%
78,妇科调经片,70,327000,0,1590000,易,-22%,-4%,-11%,37.32%,62.68%
76,硫普罗宁,68,575000,2,259000,易,-,-,-,-%,-%
33,清脑降压片,68,195000,4,747000,易,-12%,-9%,-32%,65.42%,34.58%
82,宫炎康颗粒,63,183000,0,366000,易,-,-,-,-%,-%
26,注射用胸腺五肽,63,737000,1,230000,易,-,-,-,-%,-%
43,醋酸氟轻松乳膏,61,454000,0,140000,易,-3%,-8%,+744%,61.55%,38.45%
47,藿香正气片,53,399000,0,1510000,易,-2%,-26%,+1300%,65.08%,34.92%
29,注射用氨曲南,53,543000,0,125000,易,-,-,-,-%,-%
6,度米芬含片,52,165000,0,370000,易,-3%,-9%,+650%,64.11%,35.89%
30,胃膜素胶囊,47,222000,2,2720000,易,-,-,-,-%,-%
16,烟酰胺片,46,853000,4,380000,易,+32%,-6%,+6%,57.96%,42.04%
98,复方岩白菜素片,45,130000,0,76900,易,-,-,-,-%,-%
41,利胆片,31,938000,2,314000,易,-,-,-,-%,-%
95,复方胆通胶囊,29,228000,2,597000,易,-,-,-,-%,-%
20,盐酸奈福泮注射液,26,154000,0,87600,易,-,-,-,-%,-%
4,五味子颗粒,25,1670000,0,795000,易,-,-,-,-%,-%
49,诺氟沙星片,22,1290000,0,1080000,易,0%,-11%,+750%,66.09%,33.91%
17,石淋通颗粒,22,251000,0,781000,易,-,-,-,-%,-%
23,凝血酶冻干粉,22,112000,0,207000,易,-,-,-,-%,-%
18,安胃片,19,147000,4,65800,易,0%,0%,-8%,63.15%,36.85%
57,维生素e烟酸酯胶囊,18,255000,2,112000,易,-,-,-,-%,-%
66,盐酸苯海拉明片,17,336000,4,222000,易,-,-,-,-%,-%
50,冠心苏合胶囊,17,310000,2,134000,易,-,-,-,-%,-%
14,复方龙胆碳酸氢钠片,17,166000,0,77600,易,-,-,-,-%,-%
92,更昔洛韦注射液,16,446000,0,272000,易,-,-,-,-%,-%
94,乙酰谷酰胺注射液,14,185000,0,146000,易,-,-,-,-%,-%
73,注射用果糖二磷酸钠,14,339000,0,80700,易,-,-,-,-%,-%
61,尼莫地平注射液,14,640000,0,283000,易,-,-,-,-%,-%
10,单硝酸异山梨酯注射液,14,548000,0,166000,易,-,-,-,-%,-%
80,消渴灵片,13,124000,0,290000,易,-,-,-,-%,-%
64,注射用盐酸头孢吡肟,11,290000,0,127000,易,-,-,-,-%,-%
91,维生素e片,10,5710000,4,12900000,中等,-,-,-,-%,-%
72,胃蛋白酶片,8,113000,6,960000,易,-,-,-,-%,-%
87,复方南板蓝根片,7,135000,2,181000,易,-,-,-,-%,-%
51,板蓝根注射液,7,1490000,0,576000,易,-,-,-,-%,-%
60,莪术油葡萄糖注射液,6,235000,2,51700,易,-,-,-,-%,-%
15,含糖胃蛋白酶,6,150000,6,189000,易,-,-,-,-%,-%
96,生理氯化钠溶液,5,1590000,0,250000,易,-,-,-,-%,-%
40,注射用氨苄西林钠氯唑西林钠,3,194000,0,205000,易,-,-,-,-%,-%
9,牛磺酸片,3,1140000,6,782000,中等,-,-,-,-%,-%
79,羟乙基淀粉40氯化钠注射液,2,75600,0,32700,易,-,-,-,-%,-%
53,肾上腺色腙注射液,2,158000,0,43500,易,-,-,-,-%,-%
48,注射用葡萄糖酸依诺沙星,2,217000,0,52900,易,-,-,-,-%,-%
99,羟甲香豆素胶囊,1,58500,6,66900,易,-,-,-,-%,-%
93,注射用舒巴坦钠,1,889000,0,350000,易,-,-,-,-%,-%
